success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,nullity_ratio,n_amenable,n_not_amenable,amenability_rate,default_chi,default_ofd_rate,default_time,guided_chi,guided_ofd_rate,guided_time,n_ofd_skipped,chi_match,chi_ratio,time_savings,predicted_chi
true,"Random Clifford+T (Brick-wall)",4,3954655890,4,4,0,0.000000,3,1,0.750000,2,1.000000,8.3496,2,0.750000,0.0023,1,true,1.000000,0.999729,1
true,"Random Clifford+T (Brick-wall)",4,3846154051,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.2964,1,0.500000,0.0009,2,true,1.000000,0.997014,4
true,"Random Clifford+T (Brick-wall)",4,210281276,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0035,2,0.750000,0.0007,1,true,1.000000,0.813702,2
true,"Random Clifford+T (Brick-wall)",4,1595330070,4,3,1,0.250000,3,1,0.750000,1,1.000000,0.0005,1,0.750000,0.0004,1,true,1.000000,0.088025,2
true,"Random Clifford+T (Brick-wall)",5,3417115612,5,4,1,0.200000,5,0,1.000000,1,1.000000,0.0001,1,1.000000,0.0001,0,true,1.000000,0.184982,2
true,"Random Clifford+T (Brick-wall)",5,4235538198,5,4,1,0.200000,3,2,0.600000,2,1.000000,0.0054,2,0.600000,0.0013,2,true,1.000000,0.760295,2
true,"Random Clifford+T (Brick-wall)",5,284050445,5,4,1,0.200000,5,0,1.000000,1,1.000000,0.0001,1,1.000000,0.0001,0,true,1.000000,0.123845,2
true,"Random Clifford+T (Brick-wall)",5,3197058080,5,3,2,0.400000,5,0,1.000000,1,1.000000,0.0001,1,1.000000,0.0001,0,true,1.000000,0.009174,4
true,"Random Clifford+T (Brick-wall)",6,1657456968,6,4,2,0.333333,5,1,0.833333,1,1.000000,0.0008,1,0.833333,0.0007,1,true,1.000000,0.140571,4
true,"Random Clifford+T (Brick-wall)",6,2716354915,6,5,1,0.166667,4,2,0.666667,4,1.000000,0.0012,4,0.666667,0.0012,2,true,1.000000,0.019600,2
true,"Random Clifford+T (Brick-wall)",6,3565117871,6,6,0,0.000000,5,1,0.833333,2,1.000000,0.0012,2,0.833333,0.0009,1,true,1.000000,0.214967,1
true,"Random Clifford+T (Brick-wall)",6,3378092239,6,6,0,0.000000,6,0,1.000000,1,1.000000,0.0001,1,1.000000,0.0001,0,true,1.000000,0.012719,1
