success,family,n_qubits,seed,orig_t_count,orig_total_gates,orig_rank,orig_nullity,orig_predicted_chi,orig_ofd_rate,consol_t_count,consol_total_gates,consol_rank,consol_nullity,consol_predicted_chi,consol_ofd_rate,n_tt_to_s,n_tdag_tdag_to_sdag,n_t_tdag_cancel,t_reduction,t_reduction_pct,nullity_reduction,chi_improvement
true,"Random Clifford+T (Brick-wall)",4,116386019,4,16,3,1,2,0.750000,2,15,2,0,1,1.000000,1,0,0,2,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",4,55247875,4,16,4,0,1,1.000000,0,14,0,0,1,,2,0,0,4,1.000000,0,1.000000
true,"Random Clifford+T (Brick-wall)",4,2571385191,4,16,3,1,2,0.500000,2,15,1,1,2,0.500000,1,0,0,2,0.500000,0,1.000000
true,"Random Clifford+T (Brick-wall)",4,294981421,4,16,4,0,1,1.000000,2,15,2,0,1,1.000000,1,0,0,2,0.500000,0,1.000000
true,"Random Clifford+T (Brick-wall)",8,2627919761,8,64,8,0,1,1.000000,4,62,4,0,1,1.000000,2,0,0,4,0.500000,0,1.000000
true,"Random Clifford+T (Brick-wall)",8,3340700362,8,64,7,1,2,1.000000,4,62,4,0,1,1.000000,2,0,0,4,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",8,1640421930,8,64,8,0,1,0.875000,6,63,6,0,1,0.833333,1,0,0,2,0.250000,0,1.000000
true,"Random Clifford+T (Brick-wall)",8,4064873570,8,64,7,1,2,0.875000,4,62,4,0,1,1.000000,2,0,0,4,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",16,2494239812,16,256,15,1,2,1.000000,8,252,8,0,1,1.000000,4,0,0,8,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",16,2838581552,16,256,15,1,2,0.937500,8,252,8,0,1,1.000000,4,0,0,8,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",16,2998526703,16,256,15,1,2,0.875000,8,252,8,0,1,1.000000,4,0,0,8,0.500000,1,0.500000
true,"Random Clifford+T (Brick-wall)",16,4275159621,16,256,15,1,2,0.937500,8,252,7,1,2,0.875000,4,0,0,8,0.500000,0,1.000000
true,"Random Clifford+T (Brick-wall)",32,2475750191,32,1024,31,1,2,0.937500,14,1015,14,0,1,1.000000,9,0,0,18,0.562500,1,0.500000
true,"Random Clifford+T (Brick-wall)",32,2822368925,32,1024,31,1,2,0.968750,8,1012,8,0,1,1.000000,12,0,0,24,0.750000,1,0.500000
true,"Random Clifford+T (Brick-wall)",32,484800107,32,1024,31,1,2,1.000000,8,1012,8,0,1,1.000000,12,0,0,24,0.750000,1,0.500000
true,"Random Clifford+T (Brick-wall)",32,3751327729,32,1024,30,2,4,0.968750,14,1015,14,0,1,1.000000,9,0,0,18,0.562500,2,0.250000
true,"Random Clifford+T (Brick-wall)",64,2334682634,64,4096,62,2,4,0.984375,26,4077,25,1,2,0.961538,19,0,0,38,0.593750,1,0.500000
true,"Random Clifford+T (Brick-wall)",64,332471193,64,4096,63,1,2,1.000000,30,4079,30,0,1,1.000000,17,0,0,34,0.531250,1,0.500000
true,"Random Clifford+T (Brick-wall)",64,1889565290,64,4096,62,2,4,0.968750,28,4078,28,0,1,1.000000,18,0,0,36,0.562500,2,0.250000
true,"Random Clifford+T (Brick-wall)",64,347317379,64,4096,63,1,2,0.968750,26,4077,26,0,1,1.000000,19,0,0,38,0.593750,1,0.500000
true,"Random Clifford+T (All-to-all)",4,2586813708,4,36,4,0,1,0.750000,0,34,0,0,1,,2,0,0,4,1.000000,0,1.000000
true,"Random Clifford+T (All-to-all)",4,2897147559,4,36,4,0,1,1.000000,0,34,0,0,1,,2,0,0,4,1.000000,0,1.000000
true,"Random Clifford+T (All-to-all)",4,448347896,4,36,4,0,1,0.500000,4,36,4,0,1,0.500000,0,0,0,0,0.000000,0,1.000000
true,"Random Clifford+T (All-to-all)",4,3010176476,4,36,3,1,2,0.500000,2,35,2,0,1,1.000000,1,0,0,2,0.500000,1,0.500000
true,"Random Clifford+T (All-to-all)",8,2156898426,8,136,8,0,1,1.000000,4,134,4,0,1,1.000000,2,0,0,4,0.500000,0,1.000000
true,"Random Clifford+T (All-to-all)",8,592423299,8,136,7,1,2,0.875000,6,135,5,1,2,1.000000,1,0,0,2,0.250000,0,1.000000
true,"Random Clifford+T (All-to-all)",8,1832911554,8,136,6,2,4,0.750000,2,133,1,1,2,0.500000,3,0,0,6,0.750000,1,0.500000
true,"Random Clifford+T (All-to-all)",8,3830752265,8,136,7,1,2,1.000000,2,133,2,0,1,1.000000,3,0,0,6,0.750000,1,0.500000
true,"Random Clifford+T (All-to-all)",16,3164673811,16,528,15,1,2,1.000000,6,523,6,0,1,1.000000,5,0,0,10,0.625000,1,0.500000
true,"Random Clifford+T (All-to-all)",16,2831771351,16,528,15,1,2,0.937500,8,524,8,0,1,1.000000,4,0,0,8,0.500000,1,0.500000
true,"Random Clifford+T (All-to-all)",16,586823158,16,528,15,1,2,1.000000,6,523,6,0,1,1.000000,5,0,0,10,0.625000,1,0.500000
true,"Random Clifford+T (All-to-all)",16,3152337613,16,528,16,0,1,0.937500,8,524,8,0,1,1.000000,4,0,0,8,0.500000,0,1.000000
true,"Random Clifford+T (All-to-all)",32,467605694,32,2080,30,2,4,0.968750,14,2071,14,0,1,1.000000,9,0,0,18,0.562500,2,0.250000
true,"Random Clifford+T (All-to-all)",32,1857976218,32,2080,32,0,1,0.968750,16,2072,16,0,1,1.000000,8,0,0,16,0.500000,0,1.000000
true,"Random Clifford+T (All-to-all)",32,380240764,32,2080,32,0,1,0.937500,18,2073,18,0,1,1.000000,7,0,0,14,0.437500,0,1.000000
true,"Random Clifford+T (All-to-all)",32,2719331155,32,2080,31,1,2,0.968750,14,2071,14,0,1,1.000000,9,0,0,18,0.562500,1,0.500000
true,"Random Clifford+T (All-to-all)",64,1585056959,64,8256,62,2,4,1.000000,26,8237,26,0,1,1.000000,19,0,0,38,0.593750,2,0.250000
true,"Random Clifford+T (All-to-all)",64,2307679303,64,8256,63,1,2,0.984375,30,8239,30,0,1,1.000000,17,0,0,34,0.531250,1,0.500000
true,"Random Clifford+T (All-to-all)",64,1492785116,64,8256,63,1,2,0.984375,24,8236,24,0,1,1.000000,20,0,0,40,0.625000,1,0.500000
true,"Random Clifford+T (All-to-all)",64,522622565,64,8256,63,1,2,0.984375,28,8238,28,0,1,1.000000,18,0,0,36,0.562500,1,0.500000
true,"Bernstein-Vazirani",4,4076167560,4,13,2,2,4,0.500000,0,11,0,0,1,,2,0,0,4,1.000000,2,0.250000
true,"Bernstein-Vazirani",4,227229528,4,12,3,1,2,0.750000,2,11,2,0,1,1.000000,1,0,0,2,0.500000,1,0.500000
true,"Bernstein-Vazirani",4,1329753489,4,12,2,2,4,0.500000,2,11,2,0,1,1.000000,1,0,0,2,0.500000,2,0.250000
true,"Bernstein-Vazirani",4,577477584,4,14,3,1,2,0.750000,2,13,2,0,1,1.000000,1,0,0,2,0.500000,1,0.500000
true,"Bernstein-Vazirani",8,2850785634,8,27,7,1,2,0.750000,4,25,4,0,1,1.000000,2,0,0,4,0.500000,1,0.500000
true,"Bernstein-Vazirani",8,2396105615,8,28,5,3,8,0.625000,2,25,2,0,1,1.000000,3,0,0,6,0.750000,3,0.125000
