family,n_qubits,seed,n_t_gates,n_ofd_success,n_ofd_fail,ofd_rate,n_pure_z,pure_z_rate,n_gf2_independent,gf2_independence_rate,first_fail_position,mean_pauli_weight
"Random Clifford+T (Brick-wall)",4,3330094219,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,2.50
"Random Clifford+T (Brick-wall)",4,1181432865,4,3,1,0.750000,0,0.000000,3,0.750000,0.666667,3.25
"Random Clifford+T (Brick-wall)",4,3250384583,4,3,1,0.750000,0,0.000000,4,1.000000,1.000000,3.00
"Random Clifford+T (Brick-wall)",8,702287885,8,7,1,0.875000,0,0.000000,7,0.875000,0.571429,4.38
"Random Clifford+T (Brick-wall)",8,1453854156,8,7,1,0.875000,1,0.125000,7,0.875000,0.000000,4.88
"Random Clifford+T (Brick-wall)",8,2171602790,8,6,2,0.750000,0,0.000000,8,1.000000,0.857143,5.25
"Random Clifford+T (Brick-wall)",16,1502598504,16,15,1,0.937500,0,0.000000,15,0.937500,0.933333,8.81
"Random Clifford+T (Brick-wall)",16,1665819534,16,16,0,1.000000,0,0.000000,15,0.937500,1.000000,8.75
"Random Clifford+T (Brick-wall)",16,3832879087,16,13,3,0.812500,0,0.000000,14,0.875000,0.600000,9.31
"Random Clifford+T (Brick-wall)",32,3075041448,32,31,1,0.968750,0,0.000000,31,0.968750,0.967742,18.41
"Random Clifford+T (Brick-wall)",32,2383872060,32,32,0,1.000000,0,0.000000,32,1.000000,1.000000,17.78
"Random Clifford+T (Brick-wall)",32,1906831316,32,30,2,0.937500,0,0.000000,32,1.000000,0.935484,17.91
"Random Clifford+T (Brick-wall)",64,910295512,64,63,1,0.984375,0,0.000000,63,0.984375,0.507937,38.75
"Random Clifford+T (Brick-wall)",64,2331429654,64,63,1,0.984375,0,0.000000,64,1.000000,1.000000,35.77
"Random Clifford+T (Brick-wall)",64,1255560064,64,64,0,1.000000,0,0.000000,64,1.000000,1.000000,37.17
"Random Clifford+T (All-to-all)",4,721178234,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,2.75
"Random Clifford+T (All-to-all)",4,3311602309,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,3.00
"Random Clifford+T (All-to-all)",4,368026275,4,3,1,0.750000,1,0.250000,3,0.750000,0.000000,2.50
"Random Clifford+T (All-to-all)",8,734034004,8,7,1,0.875000,0,0.000000,8,1.000000,0.857143,5.38
"Random Clifford+T (All-to-all)",8,804977516,8,8,0,1.000000,0,0.000000,8,1.000000,1.000000,6.00
"Random Clifford+T (All-to-all)",8,2669280274,8,8,0,1.000000,0,0.000000,8,1.000000,1.000000,4.75
"Random Clifford+T (All-to-all)",16,4200140895,16,14,2,0.875000,0,0.000000,15,0.937500,0.266667,10.00
"Random Clifford+T (All-to-all)",16,2866115311,16,15,1,0.937500,0,0.000000,15,0.937500,0.600000,10.94
