success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,predicted_chi,ofd_chi,ofd_entropy,m_ofd,ofd_rate,nodis_chi,nodis_entropy,structural_bound,structural_satisfied,optimal_satisfied,greedy_optimal,tightness,chi_reduction,log2_chi_ofd,log2_chi_nodis,log2_predicted,log2_structural
true,"Random Clifford+T (Brick-wall)",4,2858288167,4,3,1,2,1,0.000000,2,0.500000,2,0.416496,4,true,true,false,0.000000,0.500000,0.0000,1.0000,1.0000,2.0000
true,"Random Clifford+T (Brick-wall)",4,27556327,4,3,1,2,2,0.000000,3,0.750000,4,0.562335,2,true,true,true,1.000000,0.500000,1.0000,2.0000,1.0000,1.0000
true,"Random Clifford+T (Brick-wall)",4,1289096144,4,3,1,2,2,0.000000,2,0.500000,4,0.497930,4,true,true,false,0.500000,0.500000,1.0000,2.0000,1.0000,2.0000
true,"Random Clifford+T (Brick-wall)",4,2261846131,4,2,2,4,2,0.000000,2,0.500000,2,0.416496,4,true,true,true,0.500000,1.000000,1.0000,1.0000,2.0000,2.0000
true,"Random Clifford+T (Brick-wall)",4,3265963412,4,3,1,2,2,0.416496,3,0.750000,4,0.562335,2,true,true,true,1.000000,0.500000,1.0000,2.0000,1.0000,1.0000
true,"Random Clifford+T (Brick-wall)",5,2554917909,5,4,1,2,2,0.245775,3,0.600000,4,0.832991,4,true,true,false,0.500000,0.500000,1.0000,2.0000,1.0000,2.0000
true,"Random Clifford+T (Brick-wall)",5,4092872157,5,4,1,2,4,0.376770,3,0.600000,4,0.645511,4,true,false,false,1.000000,1.000000,2.0000,2.0000,1.0000,2.0000
true,"Random Clifford+T (Brick-wall)",5,2567376142,5,4,1,2,2,0.000000,3,0.600000,4,0.562335,4,true,true,false,0.500000,0.500000,1.0000,2.0000,1.0000,2.0000
true,"Random Clifford+T (Brick-wall)",5,1791644493,5,4,1,2,1,0.000000,4,0.800000,8,0.978831,2,true,true,true,0.000000,0.125000,0.0000,3.0000,1.0000,1.0000
true,"Random Clifford+T (Brick-wall)",5,3361010969,5,5,0,1,1,0.000000,5,1.000000,8,1.006856,1,true,true,true,1.000000,0.125000,0.0000,3.0000,0.0000,0.0000
true,"Random Clifford+T (Brick-wall)",6,1233028644,6,4,2,4,2,0.245775,4,0.666667,8,1.146274,4,true,true,true,0.500000,0.250000,1.0000,3.0000,2.0000,2.0000
true,"Random Clifford+T (Brick-wall)",6,470877840,6,5,1,2,2,0.416496,5,0.833333,8,1.199178,2,true,true,true,1.000000,0.250000,1.0000,3.0000,1.0000,1.0000
true,"Random Clifford+T (Brick-wall)",6,2847440735,6,4,2,4,4,0.498023,4,0.666667,8,1.131301,4,true,true,true,1.000000,0.500000,2.0000,3.0000,2.0000,2.0000
