success,family,n_qubits,r,seed,t,g,rank,nullity,bound_rg,bound_prop2,bound,bound_satisfied,rank_to_bound_ratio
true,"VQE",4,1,2618998811,205,205,4,201,205,205,205,true,0.019512
true,"VQE",4,1,422753840,210,210,4,206,210,210,210,true,0.019048
true,"VQE",4,1,966398600,207,207,4,203,207,207,207,true,0.019324
true,"VQE",4,1,2367172388,207,207,4,203,207,207,207,true,0.019324
true,"VQE",4,2,442978435,415,208,4,411,416,212,212,true,0.018868
true,"VQE",4,2,1946745451,417,207,4,413,414,211,211,true,0.018957
true,"VQE",4,2,22704499,411,210,4,407,420,214,214,true,0.018692
true,"VQE",4,2,4218168798,422,212,4,418,424,216,216,true,0.018519
true,"VQE",4,3,943582849,607,195,4,603,585,203,203,true,0.019704
true,"VQE",4,3,1240678320,609,208,4,605,624,216,216,true,0.018519
true,"VQE",4,3,594472023,618,208,4,614,624,216,216,true,0.018519
true,"VQE",4,3,2344825331,622,200,4,618,600,208,208,true,0.019231
true,"VQE",4,5,1289209179,1022,208,4,1018,1040,224,224,true,0.017857
true,"VQE",4,5,1168559018,1025,205,4,1021,1025,221,221,true,0.018100
true,"VQE",4,5,3544042227,1029,205,4,1025,1025,221,221,true,0.018100
true,"VQE",4,5,1833815813,1018,201,4,1014,1005,217,217,true,0.018433
true,"VQE",4,10,2136899066,2055,205,4,2051,2050,241,241,true,0.016598
true,"VQE",4,10,3151985836,2068,212,4,2064,2120,248,248,true,0.016129
true,"VQE",4,10,4062319577,2043,192,4,2039,1920,228,228,true,0.017544
true,"VQE",4,10,3073783828,2055,203,4,2051,2030,239,239,true,0.016736
true,"VQE",4,15,2507795719,3064,205,4,3060,3075,261,261,true,0.015326
true,"VQE",4,15,1814192335,3077,207,4,3073,3105,263,263,true,0.015209
true,"VQE",4,15,4271733865,3078,208,4,3074,3120,264,264,true,0.015152
true,"VQE",4,15,2993550925,3097,207,4,3093,3105,263,263,true,0.015209
true,"VQE",4,20,282070177,4107,200,4,4103,4000,276,276,true,0.014493
true,"VQE",4,20,3688798374,4091,200,4,4087,4000,276,276,true,0.014493
true,"VQE",4,20,1671462575,4077,205,4,4073,4100,281,281,true,0.014235
true,"VQE",4,20,395429020,4076,202,4,4072,4040,278,278,true,0.014388
true,"VQE",4,30,1722754512,6140,210,4,6136,6300,326,326,true,0.012270
true,"VQE",4,30,2529628379,6153,207,4,6149,6210,323,323,true,0.012384
true,"VQE",4,30,544422007,6135,205,4,6131,6150,321,321,true,0.012461
true,"VQE",4,30,738748356,6109,200,4,6105,6000,316,316,true,0.012658
true,"VQE",4,50,3763392471,10241,202,4,10237,10100,398,398,true,0.010050
true,"VQE",4,50,653420106,10226,212,4,10222,10600,408,408,true,0.009804
true,"VQE",4,50,2949820818,10259,202,4,10255,10100,398,398,true,0.010050
true,"VQE",4,50,2066929742,10254,210,4,10250,10500,406,406,true,0.009852
true,"VQE",6,1,1696324641,302,302,6,296,302,302,302,true,0.019868
true,"VQE",6,1,791098640,306,306,6,300,306,306,306,true,0.019608
true,"VQE",6,1,419628299,316,316,6,310,316,316,316,true,0.018987
true,"VQE",6,1,2574954010,304,304,6,298,304,304,304,true,0.019737
true,"VQE",6,2,3095714702,617,309,6,611,618,315,315,true,0.019048
true,"VQE",6,2,3253615413,615,304,6,609,608,310,310,true,0.019355
true,"VQE",6,2,412567471,618,307,6,612,614,313,313,true,0.019169
true,"VQE",6,2,734501449,604,310,6,598,620,316,316,true,0.018987
true,"VQE",6,3,4273053865,926,314,6,920,942,326,326,true,0.018405
true,"VQE",6,3,251011161,914,306,6,908,918,318,318,true,0.018868
true,"VQE",6,3,578645200,916,309,6,910,927,321,321,true,0.018692
true,"VQE",6,3,1849198101,930,311,6,924,933,323,323,true,0.018576
true,"VQE",6,5,4021952541,1541,306,6,1535,1530,330,330,true,0.018182
true,"VQE",6,5,2483514352,1545,316,6,1539,1580,340,340,true,0.017647
true,"VQE",6,5,2029231447,1543,298,6,1537,1490,322,322,true,0.018634
true,"VQE",6,5,2904906575,1530,306,6,1524,1530,330,330,true,0.018182
true,"VQE",6,10,3355565922,3063,301,6,3057,3010,355,355,true,0.016901
true,"VQE",6,10,389902994,3095,311,6,3089,3110,365,365,true,0.016438
true,"VQE",6,10,2440023406,3084,314,6,3078,3140,368,368,true,0.016304
true,"VQE",6,10,310523621,3092,304,6,3086,3040,358,358,true,0.016760
true,"VQE",6,15,2700491653,4586,308,6,4580,4620,392,392,true,0.015306
true,"VQE",6,15,2689509597,4622,311,6,4616,4665,395,395,true,0.015190
true,"VQE",6,15,530678032,4592,313,6,4586,4695,397,397,true,0.015113
true,"VQE",6,15,4221918293,4592,308,6,4586,4620,392,392,true,0.015306
true,"VQE",6,20,975407343,6158,309,6,6152,6180,423,423,true,0.014184
true,"VQE",6,20,2799300534,6147,297,6,6141,5940,411,411,true,0.014599
true,"VQE",6,20,2451255119,6135,302,6,6129,6040,416,416,true,0.014423
