success,n_qubits,seed,t,rank,nullity,predicted_chi,nullity_ratio
true,4,2654047370,16,2,14,16384,0.875000
true,6,719006233,80,4,76,4611686018427387903,0.950000
true,8,4224330243,224,6,218,4611686018427387903,0.973214
true,10,2144042426,480,8,472,4611686018427387903,0.983333
true,12,4088258365,880,10,870,4611686018427387903,0.988636
true,16,2128773174,2240,14,2226,4611686018427387903,0.993750
true,20,1013088024,4560,18,4542,4611686018427387903,0.996053
true,24,3396199123,8096,22,8074,4611686018427387903,0.997283
true,32,2114813554,19840,30,19810,4611686018427387903,0.998488
true,48,105366736,69184,46,69138,4611686018427387903,0.999335
true,64,1821168629,166656,62,166594,4611686018427387903,0.999628
true,128,1707907617,1365504,126,1365378,4611686018427387903,0.999908
true,256,3143583227,11054080,254,11053826,4611686018427387903,0.999977
