n_qubits,rank,model1_predicted,model2_predicted,model3_predicted
4,3.000000,3.342233,3.199096,3.031375
6,5.000000,5.130359,5.041251,4.976529
8,7.000000,6.953376,6.916851,6.950677
10,9.000000,8.802784,8.817156,8.942213
12,11.000000,10.673499,10.736723,10.944883
16,15.000000,14.466210,14.620297,14.970203
20,19.000000,18.313827,18.549352,19.010105
24,23.000000,22.205772,22.513470,23.056767
32,31.000000,30.096348,30.522202,31.155260
48,47.000000,46.198185,46.767499,47.329931
64,63.000000,62.614202,63.221878,63.447200
128,127.000000,130.266246,130.246787,127.289061
256,255.000000,271.013511,267.266911,252.586607
