n_qubits,rank,model1_predicted,model2_predicted,model3_predicted
4,2.000000,2.666670,2.402192,2.083913
6,4.000000,4.217909,4.041228,3.905728
8,6.000000,5.839568,5.759208,5.833844
10,8.000000,7.515687,7.534669,7.820018
12,10.000000,9.236524,9.354938,9.841278
16,14.000000,12.787688,13.099333,13.943098
20,18.000000,16.458112,16.950738,18.084769
24,22.000000,20.226462,20.885308,22.242005
32,30.000000,28.002925,28.947080,30.558778
48,46.000000,44.292611,45.622372,47.084794
64,62.000000,61.321781,62.810802,63.403366
128,126.000000,134.284570,134.584255,126.667220
256,254.000000,294.061027,285.726633,246.146993
