n_qubits,seed,t_index,control_j,rotation_k,cumulative_t,cumulative_rank,rank_delta
8,1267918673,1,1,3,1,1,1
8,1267918673,2,1,3,2,1,0
8,1267918673,3,1,3,3,1,0
8,1267918673,4,1,3,4,1,0
8,1267918673,5,1,4,5,1,0
8,1267918673,6,1,4,6,1,0
8,1267918673,7,1,4,7,1,0
8,1267918673,8,1,4,8,1,0
8,1267918673,9,1,4,9,1,0
8,1267918673,10,1,4,10,1,0
8,1267918673,11,1,4,11,1,0
8,1267918673,12,1,4,12,1,0
8,1267918673,13,1,5,13,1,0
8,1267918673,14,1,5,14,1,0
8,1267918673,15,1,5,15,1,0
8,1267918673,16,1,5,16,1,0
8,1267918673,17,1,5,17,1,0
8,1267918673,18,1,5,18,1,0
8,1267918673,19,1,5,19,1,0
8,1267918673,20,1,5,20,1,0
8,1267918673,21,1,5,21,1,0
8,1267918673,22,1,5,22,1,0
8,1267918673,23,1,5,23,1,0
8,1267918673,24,1,5,24,1,0
8,1267918673,25,1,6,25,1,0
8,1267918673,26,1,6,26,1,0
8,1267918673,27,1,6,27,1,0
8,1267918673,28,1,6,28,1,0
8,1267918673,29,1,6,29,1,0
8,1267918673,30,1,6,30,1,0
8,1267918673,31,1,6,31,1,0
8,1267918673,32,1,6,32,1,0
8,1267918673,33,1,6,33,1,0
8,1267918673,34,1,6,34,1,0
8,1267918673,35,1,6,35,1,0
8,1267918673,36,1,6,36,1,0
8,1267918673,37,1,6,37,1,0
8,1267918673,38,1,6,38,1,0
8,1267918673,39,1,6,39,1,0
8,1267918673,40,1,6,40,1,0
8,1267918673,41,1,7,41,1,0
8,1267918673,42,1,7,42,1,0
8,1267918673,43,1,7,43,1,0
8,1267918673,44,1,7,44,1,0
8,1267918673,45,1,7,45,1,0
8,1267918673,46,1,7,46,1,0
8,1267918673,47,1,7,47,1,0
8,1267918673,48,1,7,48,1,0
8,1267918673,49,1,7,49,1,0
8,1267918673,50,1,7,50,1,0
8,1267918673,51,1,7,51,1,0
8,1267918673,52,1,7,52,1,0
8,1267918673,53,1,7,53,1,0
8,1267918673,54,1,7,54,1,0
8,1267918673,55,1,7,55,1,0
8,1267918673,56,1,7,56,1,0
8,1267918673,57,1,7,57,1,0
8,1267918673,58,1,7,58,1,0
8,1267918673,59,1,7,59,1,0
8,1267918673,60,1,7,60,1,0
8,1267918673,61,1,8,61,1,0
8,1267918673,62,1,8,62,1,0
8,1267918673,63,1,8,63,1,0
8,1267918673,64,1,8,64,1,0
8,1267918673,65,1,8,65,1,0
8,1267918673,66,1,8,66,1,0
8,1267918673,67,1,8,67,1,0
8,1267918673,68,1,8,68,1,0
8,1267918673,69,1,8,69,1,0
8,1267918673,70,1,8,70,1,0
8,1267918673,71,1,8,71,1,0
8,1267918673,72,1,8,72,1,0
8,1267918673,73,1,8,73,1,0
8,1267918673,74,1,8,74,1,0
8,1267918673,75,1,8,75,1,0
8,1267918673,76,1,8,76,1,0
8,1267918673,77,1,8,77,1,0
8,1267918673,78,1,8,78,1,0
8,1267918673,79,1,8,79,1,0
8,1267918673,80,1,8,80,1,0
8,1267918673,81,1,8,81,1,0
8,1267918673,82,1,8,82,1,0
8,1267918673,83,1,8,83,1,0
8,1267918673,84,1,8,84,1,0
8,1267918673,85,2,3,85,2,1
8,1267918673,86,2,3,86,2,0
8,1267918673,87,2,3,87,2,0
8,1267918673,88,2,3,88,2,0
8,1267918673,89,2,4,89,2,0
8,1267918673,90,2,4,90,2,0
8,1267918673,91,2,4,91,2,0
8,1267918673,92,2,4,92,2,0
8,1267918673,93,2,4,93,2,0
8,1267918673,94,2,4,94,2,0
8,1267918673,95,2,4,95,2,0
8,1267918673,96,2,4,96,2,0
8,1267918673,97,2,5,97,2,0
8,1267918673,98,2,5,98,2,0
8,1267918673,99,2,5,99,2,0
8,1267918673,100,2,5,100,2,0
8,1267918673,101,2,5,101,2,0
8,1267918673,102,2,5,102,2,0
8,1267918673,103,2,5,103,2,0
8,1267918673,104,2,5,104,2,0
8,1267918673,105,2,5,105,2,0
8,1267918673,106,2,5,106,2,0
8,1267918673,107,2,5,107,2,0
8,1267918673,108,2,5,108,2,0
8,1267918673,109,2,6,109,2,0
8,1267918673,110,2,6,110,2,0
8,1267918673,111,2,6,111,2,0
8,1267918673,112,2,6,112,2,0
8,1267918673,113,2,6,113,2,0
8,1267918673,114,2,6,114,2,0
8,1267918673,115,2,6,115,2,0
8,1267918673,116,2,6,116,2,0
8,1267918673,117,2,6,117,2,0
8,1267918673,118,2,6,118,2,0
8,1267918673,119,2,6,119,2,0
8,1267918673,120,2,6,120,2,0
8,1267918673,121,2,6,121,2,0
8,1267918673,122,2,6,122,2,0
