success,n_qubits,seed,t,rank,nullity,predicted_chi,nullity_ratio
true,4,2654047370,16,2,14,16384,0.875000
true,4,3743099695,16,2,14,16384,0.875000
true,4,1038447304,16,2,14,16384,0.875000
true,4,853235879,16,2,14,16384,0.875000
true,6,719006233,80,4,76,4611686018427387903,0.950000
true,6,213814249,80,4,76,4611686018427387903,0.950000
true,6,2964282521,80,4,76,4611686018427387903,0.950000
true,6,3212494318,80,4,76,4611686018427387903,0.950000
true,8,4224330243,224,6,218,4611686018427387903,0.973214
true,8,3320492360,224,6,218,4611686018427387903,0.973214
true,8,3068810898,224,6,218,4611686018427387903,0.973214
true,8,2959997745,224,6,218,4611686018427387903,0.973214
true,10,2144042426,480,8,472,4611686018427387903,0.983333
true,10,2323367615,480,8,472,4611686018427387903,0.983333
true,10,2114316410,480,8,472,4611686018427387903,0.983333
true,10,622421893,480,8,472,4611686018427387903,0.983333
true,12,4088258365,880,10,870,4611686018427387903,0.988636
true,12,3096164762,880,10,870,4611686018427387903,0.988636
true,12,15732970,880,10,870,4611686018427387903,0.988636
true,12,1654404542,880,10,870,4611686018427387903,0.988636
true,16,2128773174,2240,14,2226,4611686018427387903,0.993750
true,16,3905040868,2240,14,2226,4611686018427387903,0.993750
true,16,53892584,2240,14,2226,4611686018427387903,0.993750
true,16,68117221,2240,14,2226,4611686018427387903,0.993750
true,20,1013088024,4560,18,4542,4611686018427387903,0.996053
true,20,2609962704,4560,18,4542,4611686018427387903,0.996053
true,20,3519081870,4560,18,4542,4611686018427387903,0.996053
true,20,1148040012,4560,18,4542,4611686018427387903,0.996053
true,24,3396199123,8096,22,8074,4611686018427387903,0.997283
true,24,3820978189,8096,22,8074,4611686018427387903,0.997283
true,24,2013064127,8096,22,8074,4611686018427387903,0.997283
true,24,4118232070,8096,22,8074,4611686018427387903,0.997283
true,32,2114813554,19840,30,19810,4611686018427387903,0.998488
true,32,2505280995,19840,30,19810,4611686018427387903,0.998488
true,32,3444265689,19840,30,19810,4611686018427387903,0.998488
true,32,354294254,19840,30,19810,4611686018427387903,0.998488
true,48,105366736,69184,46,69138,4611686018427387903,0.999335
true,48,302854500,69184,46,69138,4611686018427387903,0.999335
true,48,430797125,69184,46,69138,4611686018427387903,0.999335
true,48,1606222883,69184,46,69138,4611686018427387903,0.999335
true,64,1821168629,166656,62,166594,4611686018427387903,0.999628
true,64,4093623040,166656,62,166594,4611686018427387903,0.999628
true,64,3968024533,166656,62,166594,4611686018427387903,0.999628
true,64,2979843276,166656,62,166594,4611686018427387903,0.999628
