success,part,n_qubits,seed,t,rank,nullity,nullity_ratio,t_density
true,"nullity_convergence",4,1554330272,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,3493485574,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,1650152988,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,1321997506,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,849002320,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,1079165959,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2716384120,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2391360850,4,1,3,0.750000,1.0000
true,"nullity_convergence",4,2414335003,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,791505961,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,3768536432,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,1943686406,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,836911922,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,568078568,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3526522241,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,1656449388,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2146984861,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,1405588240,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2632002736,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,1515106997,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,636780871,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,68091881,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,595861347,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3057855300,4,2,2,0.500000,1.0000
true,"nullity_convergence",4,2717850025,4,2,2,0.500000,1.0000
true,"nullity_convergence",4,1167336883,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,431606011,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,1149687878,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2230250602,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,915335403,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2088384056,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3267063051,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,2693933789,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3884665526,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,1822490916,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,4123787858,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3042247138,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,4115773894,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,512096250,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3075533744,4,4,0,0.000000,1.0000
true,"nullity_convergence",4,661963598,4,3,1,0.250000,1.0000
true,"nullity_convergence",4,3713651944,4,4,0,0.000000,1.0000
