success,family,n_qubits,seed,n_t_gates,n_total_gates,gf2_rank,nullity,nullity_ratio,rank_ratio,rank_to_t_ratio,t_density,xbit_density,n_disentanglable,n_not_disentanglable
True,Random Clifford+T (Brick-wall),4,1629422042,4,16,4,0,0.0,1.0,1.0,1.0,0.5,4,0
True,Random Clifford+T (Brick-wall),4,2688276589,4,16,4,0,0.0,1.0,1.0,1.0,0.375,3,1
True,Random Clifford+T (Brick-wall),4,3638259386,4,16,2,2,0.5,0.5,0.5,1.0,0.25,2,2
True,Random Clifford+T (Brick-wall),4,1835439707,4,16,3,1,0.25,0.75,0.75,1.0,0.375,3,1
True,Random Clifford+T (Brick-wall),6,2026010961,6,36,5,1,0.166667,0.833333,0.833333,1.0,0.416667,5,1
True,Random Clifford+T (Brick-wall),6,2000336686,6,36,5,1,0.166667,0.833333,0.833333,1.0,0.333333,4,2
True,Random Clifford+T (Brick-wall),6,793867767,6,36,5,1,0.166667,0.833333,0.833333,1.0,0.5,5,1
True,Random Clifford+T (Brick-wall),6,1888795809,6,36,6,0,0.0,1.0,1.0,1.0,0.5,6,0
True,Random Clifford+T (Brick-wall),8,2186986403,8,64,8,0,0.0,1.0,1.0,1.0,0.390625,8,0
True,Random Clifford+T (Brick-wall),8,1306103368,8,64,8,0,0.0,1.0,1.0,1.0,0.296875,7,1
True,Random Clifford+T (Brick-wall),8,3408470013,8,64,6,2,0.25,0.75,0.75,1.0,0.375,6,2
True,Random Clifford+T (Brick-wall),8,3145813567,8,64,7,1,0.125,0.875,0.875,1.0,0.375,8,0
True,Random Clifford+T (Brick-wall),10,3958899051,10,100,9,1,0.1,0.9,0.9,1.0,0.38,9,1
True,Random Clifford+T (Brick-wall),10,2702275812,10,100,9,1,0.1,0.9,0.9,1.0,0.43,9,1
True,Random Clifford+T (Brick-wall),10,2578631880,10,100,8,2,0.2,0.8,0.8,1.0,0.39,9,1
True,Random Clifford+T (Brick-wall),10,1438541476,10,100,8,2,0.2,0.8,0.8,1.0,0.45,8,2
True,Random Clifford+T (Brick-wall),12,563839114,12,144,11,1,0.083333,0.916667,0.916667,1.0,0.333333,10,2
True,Random Clifford+T (Brick-wall),12,396147841,12,144,11,1,0.083333,0.916667,0.916667,1.0,0.347222,11,1
True,Random Clifford+T (Brick-wall),12,1279496614,12,144,10,2,0.166667,0.833333,0.833333,1.0,0.3125,10,2
True,Random Clifford+T (Brick-wall),12,2347471213,12,144,12,0,0.0,1.0,1.0,1.0,0.388889,10,2
True,Random Clifford+T (Brick-wall),14,4045663978,14,196,13,1,0.071429,0.928571,0.928571,1.0,0.392857,13,1
True,Random Clifford+T (Brick-wall),14,612354814,14,196,13,1,0.071429,0.928571,0.928571,1.0,0.408163,13,1
True,Random Clifford+T (Brick-wall),14,3972145590,14,196,13,1,0.071429,0.928571,0.928571,1.0,0.382653,13,1
True,Random Clifford+T (Brick-wall),14,1609384363,14,196,14,0,0.0,1.0,1.0,1.0,0.387755,13,1
True,Random Clifford+T (Brick-wall),16,2491647278,16,256,15,1,0.0625,0.9375,0.9375,1.0,0.40625,15,1
True,Random Clifford+T (Brick-wall),16,624260714,16,256,15,1,0.0625,0.9375,0.9375,1.0,0.320312,14,2
True,Random Clifford+T (Brick-wall),16,3291807,16,256,16,0,0.0,1.0,1.0,1.0,0.375,15,1
True,Random Clifford+T (Brick-wall),16,3065863495,16,256,15,1,0.0625,0.9375,0.9375,1.0,0.378906,14,2
True,Random Clifford+T (Brick-wall),20,1298526639,20,400,19,1,0.05,0.95,0.95,1.0,0.35,18,2
True,Random Clifford+T (Brick-wall),20,263995044,20,400,19,1,0.05,0.95,0.95,1.0,0.3425,19,1
True,Random Clifford+T (Brick-wall),20,152930049,20,400,19,1,0.05,0.95,0.95,1.0,0.405,18,2
True,Random Clifford+T (Brick-wall),20,4054064086,20,400,20,0,0.0,1.0,1.0,1.0,0.4175,19,1
True,Random Clifford+T (Brick-wall),24,3414947777,24,576,22,2,0.083333,0.916667,0.916667,1.0,0.402778,23,1
True,Random Clifford+T (Brick-wall),24,324861961,24,576,22,2,0.083333,0.916667,0.916667,1.0,0.342014,22,2
True,Random Clifford+T (Brick-wall),24,308107970,24,576,22,2,0.083333,0.916667,0.916667,1.0,0.376736,23,1
True,Random Clifford+T (Brick-wall),24,1274788393,24,576,23,1,0.041667,0.958333,0.958333,1.0,0.347222,22,2
